id,season,first,last,g_lg,1a_lg,2a_lg,pts_lg,g_ucl,1a_ucl,2a_ucl,pts_ucl,g_uel,1a_uel,2a_uel,pts_uel,g_cup,1a_cup,2a_cup,pts_cup,g_scup,1a_scup,2a_scup,pts_scup,g_uelq,1a_uelq,2a_uelq,pts_uelq,g_all,1a_all,2a_all,pts_all
dahoud,2018-19,Mahmoud,Dahoud,1,0,4,5,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,7,8
delaney,2018-19,Thomas,Delaney,3,6,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,13
diallo,2018-19,Abdou,Diallo,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4
gomez,2018-19,Sergio,Gómez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gotze,2018-19,Mario,Götze,7,8,1,16,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,2,17
guerreiro,2018-19,Raphaël,Guerreiro,2,6,5,13,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,5,17
hakimi,2018-19,Achraf,Hakimi,2,5,3,10,0,3,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,8,3,14
hitz,2018-19,Marwin,Hitz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kagawa,2018-19,Shinji,Kagawa,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,1,2
oelschlagel,2018-19,Eric,Oelschlägel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
philipp,2018-19,Maximilian,Philipp,1,0,1,2,0,1,0,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,2,2,1,5
piszczek,2018-19,Łukasz,Piszczek,1,6,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,8
pulisic,2018-19,Christian,Pulisic,4,4,3,11,1,0,2,3,0,0,0,0,2,1,1,4,0,0,0,0,0,0,0,0,7,5,6,18
reus,2018-19,Marco,Reus,18,11,5,34,1,1,0,2,0,0,0,0,3,1,0,4,0,0,0,0,0,0,0,0,22,13,5,40
sancho,2018-19,Jadon,Sancho,12,17,12,41,1,1,1,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,13,19,13,45
schmelzer,2018-19,Marcel,Schmelzer,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
toprak,2018-19,Ömer,Toprak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
weigl,2018-19,Julian,Weigl,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
witsel,2018-19,Axel,Witsel,4,1,9,14,1,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,6,1,10,17
wolf,2018-19,Marius,Wolf,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
zagadou,2018-19,Dan-Axel,Zagadou,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
akanji,2017-18,Manuel,Akanji,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
aubameyang,2017-18,Pierre-Emerick,Aubameyang,13,4,1,18,4,0,0,4,0,0,0,0,3,0,0,3,1,0,0,1,0,0,0,0,21,4,1,26
bartra,2017-18,Marc,Bartra,2,1,1,4,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,4,1,1,6
batshuayi,2017-18,Michy,Batshuayi,7,1,1,9,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,9,1,2,12
beste,2017-18,Jan-Niklas,Beste,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
bruun-larsen,2017-18,Jacob,Bruun Larsen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burki,2017-18,Roman,Bürki,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
castro,2017-18,Gonzalo,Castro,0,2,2,4,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3,2,6
dahoud,2017-18,Mahmoud,Dahoud,0,5,5,10,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,7,5,12
dembele,2017-18,Ousmane,Dembélé,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
gomez,2017-18,Sergio,Gómez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gotze,2017-18,Mario,Götze,2,4,5,11,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,7,5,14
guerreiro,2017-18,Raphaël,Guerreiro,1,1,1,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,5
isak,2017-18,Alexander,Isak,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,1,0,2
kagawa,2017-18,Shinji,Kagawa,5,3,4,12,0,3,0,3,0,0,0,0,1,2,1,4,0,0,0,0,0,0,0,0,6,8,5,19
papastathopoulos,2017-18,Sokratis,Papastathopoulos,2,0,3,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6
